인기도 순위,동영상 제목,동영상 링크,정보,업로드날짜,맛집,정보제공
8,호텔 1박하면 무제한 음식을 3번 주는 호캉스 - 더 플라자 호텔의 클럽 라운지 숙박,https://www.youtube.com/watch?v=z4ez4-1rrJI,"* Email : dudely610@gmail.com

-----------------------------------------

중구에 있는 더 플라자 호텔에 다녀왔습니다. 

클럽 라운지 혜택이 
포함 되어있는 숙박으로 다녀왔어요. 
1박 숙박을 하는 동안 3번의 식사가 포함되어 있습니다. 

* 애프터눈티 : 오후12시~오후5시
* 해피아워 : 오후6시~오후8시, + ~9시까지 술
* 조식 : 7시~10시

해피아워에는 술이 포함되어 있는데 
술의 퀄리티가 좋아서 술 좋아하시면 추천입니다. 

자막이 보이지 않으실 경우, 
영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(더 플라자 호텔)",2021. 5. 31.,플라자호텔,더들리
9,"스테이크 무한리필! 텍사스데브라질 58,000원 디너는 어떤 고기들이 나올까",https://www.youtube.com/watch?v=wdff2CuUfTI,"* Email : dudely610@gmail.com

-----------------------------------------

고속터미널에 있는 텍사스데브라질에 다녀왔습니다.

브라질 슈하스코 전문점인데 고기 무한리필이라
고기 좋아하시는 분들이 가면 좋을 곳입니다. 

가격은 점심 43,000원
저녁 58,000원입니다. 

저는 저녁에 다녀왔습니다. 
종류가 점심은 9종류고, 저녁 때는 추가로 6종류의 고기가 나옵니다. 

저는 마음에 드는 고기 4종 중에서 3종이 저녁에 있어서
다음에 갈 때도 저녁에 갈 것 같긴 합니다. 

음식만 보실 분은 ",2020. 12. 4.,스테이크,더들리
10,서울 신라호텔 뷔페 더 파크뷰의 장단점은?!,https://www.youtube.com/watch?v=I-pXr-0Ju0k,"* Email : dudely610@gmail.com

-----------------------------------------

신라호텔 뷔페인 더 파크뷰에 다녀왔습니다.

호텔 뷔페 중에서는 선택과 집중이 
상당히 잘 되어있는 곳인 것 같아요

중식이랑 디저트는 잘 하는 편이고
해산물쪽은 약간 약합니다.
그리고 사람이 많아요.

주말 브런치에 가면 샴페인을 한잔 줍니다!

이름값을 하는 곳이긴 합니다.

-----------------------------------------",2020. 2. 5.,신라호텔,더들리
11,미슐랭1스타 7만원 코스요리를 81층에서 먹고 왔습니다 - 시그니엘호텔 비채나,https://www.youtube.com/watch?v=iz7cvkthv1Y,"* Email : dudely610@gmail.com

-----------------------------------------

잠실 시그니엘호텔에 있는 한식당인 비채나에 다녀왔습니다. 
한식으로 미슐랭 1스타를 받은 곳이기도 합니다. 
주변 평이 애매해서 별 생각 없었는데 갈 일이 생겨서 방문했습니다. 

평일 런치는 70,000원
주말 런치는 77,000원 
저녁은 150,000원 or 180,000원입니다. 
저는 평일 런치로 다녀왔습니다. 

호텔 식당들 중에서는 분위기 대비 가격이 좋은 곳인 것 같네요. 
음식도 기대를 아예 안하고 가서 그런지 맛있게 먹었습니다. 

음식만 보실 분은 ",2020. 11. 13.,비채나,더들리
12,"20만원 호텔식당 이용권이 포함 된 포시즌스서울 호캉스 - 경복궁이 보이는 객실, 조식, 수영장",https://www.youtube.com/watch?v=vuJDN5izjxE,"* Email : dudely610@gmail.com

-----------------------------------------

종로에 있는 포시즌스 호텔에 다녀왔습니다. 
경복궁이 보이는 뷰가 좋은 방으로 숙박을 했는데 뷰도 괜찮고
서비스도 좋은 호텔이라 만족스럽게 숙박을 하고 왔습니다. 

저는 평일한정 식음 크레딧이 20만원 포함 된 프로모션으로 다녀왔어요.

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!",2021. 10. 7.,포시즌스,더들리
13,돈스파이크씨가 운영하는 텍사스 바베큐집 - 이태원 로우앤슬로우에 다녀왔습니다,https://www.youtube.com/watch?v=NwHiC48mHmw,"* Email : dudely610@gmail.com

-----------------------------------------

이태원에 있는 로우앤슬로우에 다녀왔습니다. 

돈스파이크씨가 운영하는 업장인데 
브리스킷 판매하는 아주 고기고기한 매장이에요. 

호주브리스킷 39,900원
소갈비 39,900원
한우브리스킷 49,900원입니다. 

어쩌다 보니 저는 3가지를 다 먹어보고 왔습니다.
고기 좋아하시는 분들은 가 볼만한 곳입니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.",2020. 10. 12.,로우앤슬로우,더들리
14,서울 신라호텔 중식당 팔선에 다녀왔습니다 - The Shilla Seoul,https://www.youtube.com/watch?v=FgYy1-NmkE8,"* Email : dudely610@gmail.com

-----------------------------------------

신라호텔 중식당인 팔선에 다녀왔습니다. 

여기가 중식당 중에서는 제일 유명한 곳들 중에 한 곳이라
중식 맛있는 곳이나 비싼 중식당을 언급할 때
팔선은 빠지기 쉽지 않은 곳이긴 합니다. 

맛있는 중식을 먹고 싶을 때는 항상 떠오르는 곳입니다. 

음식만 보실 분은 ",2020. 9. 10.,팔선,더들리
15,오랜 시간동안 많은 사람들이 찾는 예약제 간장게장집 - 서울 마포 진미식당,https://www.youtube.com/watch?v=jx-UHsbPUQw,"* Email : dudely610@gmail.com

-----------------------------------------

마포에 있는 간장게장집인 진미식당에 다녀왔습니다. 

금액은 1마리당 41,000원
포장은 38,000원입니다. 

알배기 암꽃게 간장게장이 먹고 싶을 때 항상 먼저 생각 나는 집이에요. 

진미식당
매일 ",2020. 8. 30.,간장게장,더들리
16,랍스터 무한리필 + 스테이크가 나오는 하얏트 호텔의 주말 코스 - 스테이크하우스,https://www.youtube.com/watch?v=QDJ8wnrevmg,"* Email : dudely610@gmail.com

-----------------------------------------

그랜드하얏트서울에 있는 스테이크하우스에 다녀왔습니다. 

일반 코스도 있는 곳인데 
저는 주말에만 있는 주말 런치세트로 다녀왔습니다. 
가격은 128,000원입니다. 

초반 스타터들이 무제한으로 나오는데
차가운 대게와 랍스터가 있어서 양이 꽤 만족스러운 곳입니다.

음식만 보실 분은 5분 20초부터 보시면 됩니다. 
자막이 보이지 않으실 경우, 
영상 설정에서 자막을 켜주시면 보실 수 있습니다. 
영상 봐주셔서 감사드립니다!

(그랜드하얏트서울 스테이크하우스)",2021. 2. 2.,그랜드하얏트,더들리
17,"시그니엘 호캉스에서 할 수 있는 것들 - 수영장, 조식, 한강뷰 룸, 무제한 샴페인 라운지, 룸서비스",https://www.youtube.com/watch?v=JO23H0A9dew,"* Email : dudely610@gmail.com

-----------------------------------------

잠실에 있는 시그니엘 서울에 다녀왔습니다. 

제가 이날 숙박한 시그니엘 프리미어 더블룸 기준으로 
대략적인 가격대는 50만원대~100만원대 사이인 것 같습니다. 
시그니엘의 가격은 성수기/비수기, 평일/주말, 조식유무와 
룸과 욕실의 한강 전망 선택에 따라서도 격차가 큰 편입니다.

조식은 인당 42,350원이고
뷰는 룸의 한강뷰 추가 60,500원,
전망욕실 추가 60,500원입니다. 

기본 룸 타입으로 가면 조금 더 저렴할 수 있습니다. 

전망이 좋고 호텔 자체가 상당히 고급스러운 호텔이에요. 
그리고 어떤 룸에 숙박하든지 라운지 이용이 가능한데
저녁에는 샴페인을 무제한으로 마실 수 있는 부분은 장점입니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!",2021. 8. 2.,시그니엘,더들리
18,해외같은 인피니티풀과 객실이 상당한 국내 호캉스 - 세이지우드 홍천,https://www.youtube.com/watch?v=WQJm-fMlLRk,"* Email : dudely610@gmail.com

-----------------------------------------

강원도 홍천에 있는 세이지우드에 다녀왔습니다. 

음식 영상이 아니라 올릴까말까 생각을 하다가
앞으로 호캉스 같은 것들도 가끔 올려볼까 하고 시작해봤습니다. 

베트남 휴양지같이 부지를 넓게 사용하는 리조트라
한적하기도 하고 수영장도 좋은 곳입니다. 

밥은 그냥 적당했네요. 
그냥 리조트만 올리기가 뭐해서 가는길에 양지말 화로구이집도 올렸네요. 

세이지우드 홈페이지",2020. 7. 29.,세이지우드,더들리
19,호텔 1박하면 무제한 떼땅져 샴페인과 밥을 주는 호캉스 - 롯데호텔서울 이그제큐티브타워 르살롱 라운지,https://www.youtube.com/watch?v=YebDGEbpmcw,"* Email : dudely610@gmail.com

-----------------------------------------

소공동에 있는 롯데호텔 서울에 다녀왔습니다. 

이그제큐티브 르살롱 라운지 혜택이 
포함 되어있는 패키지로 다녀왔어요. 
1박 숙박을 하는 동안 3번의 식사와 1번의 라이트스낵이 포함되어 있습니다. 

*애프터눈티 : 오후3시~오후5시
*해피아워 : 오후6시~오후8시
*조식 : 6시반~10시

이렇게 3번의 식사와 

*라이트스낵 : 11시반~2시반

라이트스낵은 상당히 간소하게 티와 커피 + 과자가 나옵니다. 

해피아워에는 술이 포함되어 있는데 술의 퀄리티가 좋아서 술 좋아하시면 추천입니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(롯데호텔서울)",2021. 4. 14.,롯데호텔,더들리
20,산속에 있는 호텔?! 별장에 놀러간 느낌으로 쉴 수 있는 곳 - 워커힐 더글라스하우스,https://www.youtube.com/watch?v=b_Wll_PMtqM,"* Email : dudely610@gmail.com

-----------------------------------------

광진구에 있는 워커힐 더글라스 하우스에 다녀왔습니다.
가끔 음식이 아닌 걸 올리게 되네요. 

서울에 있는데 교외로 놀러 간 느낌이 나는 곳이라
시간 얼마 안 들이고 산속에 놀러 간 느낌을 내기에 좋은 곳 입니다. 

노키즈존이기도 하고 숲속에 있어서 상당히 조용한 느낌을 받아서 좋았어요. 

먹는 걸 안 넣기도 뭐해서 앞부분에는 묘향만두라고
워커힐에서 그리 얼마 안 떨어져 있는 만두집을 넣었습니다. 
여기도 맛있엇네요. ",2020. 11. 30.,워커힐,더들리
21,간판없이 입소문만으로도 유명한 한우 오마카세집 - 압구정 구전동화,https://www.youtube.com/watch?v=gjAMExgLqMM,"* Email : dudely610@gmail.com

-----------------------------------------

압구정에 있는 한우 오마카세집인 구전동화에 다녀왔습니다. 

저녁만 영업을 하는 곳이에요. 
1부는 6시반~8시
2부는 8시~10시

금액은 기본 12만원입니다. 요청을 하면 금액을 올리고 코스를 업그레이드 할 수 있다고 하네요. 
콜키지는 1병 무료입니다. 

전체적인 양은 적긴 하지만 음식들이 맛있어서 좋은 곳이에요. 
술 한잔하면서 배부르지 않고 적당히 술과 함께 먹기 좋은 곳인 것 같아요.

부족한 영상 봐 주셔서 감사드립니다.
즐거운 하루 되세요!

-----------------------------------------",2020. 8. 14.,구전동화,더들리
22,롯데호텔뷔페 라세느 - 장단점 비교 후기,https://www.youtube.com/watch?v=OyfbKtep0hw,"* Email : dudely610@gmail.com

-----------------------------------------

롯데호텔서울 뷔페인 라세느에 다녀왔습니다. 

잠실에도 하나 있고 명동에도 있는데 
제가 간 곳은 명동본점이에요. 

가격은 
점심 98,000원
저녁 123,000원
주말 123,000원

저는 저녁에 다녀왔습니다. 

회는 다른 곳들과 비교해서 좋은 부분이 있고
랍스터가 있는것도 강점이긴 합니다.

-----------------------------------------",2020. 4. 21.,롯데호텔,더들리
23,국내 최고 호텔뷔페 중 한 곳! 신라호텔 뷔페 더 파크뷰의 장단점은?!,https://www.youtube.com/watch?v=Tylzy-gfDTU,"* Email : dudely610@gmail.com

-----------------------------------------

신라호텔에 있는 뷔페인 더 파크뷰에 다녀왔습니다. 
저는 저녁에 다녀왔습니다. 

해산물은 약간 아쉬운 부분이 있지만 나머지가 상당히 괜찮은 뷔페라고 생각합니다. 

음식만 보실 분은 4분 40초부터 보시면 됩니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜 주시면 보실 수 있습니다. 
영상 봐주셔서 감사드립니다!

(서울신라호텔 더 파크뷰)",2021. 5. 21.,신라호텔,더들리
24,국내 최고가 호텔뷔페? 현재 국내에서 가장 비싼 호텔 뷔페를 다녀왔습니다 - JW 메리어트 호텔 플레이버즈,https://www.youtube.com/watch?v=wZtP7wKWzq4,"* Email : dudely610@gmail.com

-----------------------------------------

고속터미널에 있는 jw메리어트 뷔페인 플레이버즈에 다녀왔습니다. 

현재 국내에서 가장 비싼 가격을 받는 뷔페이긴 하지만
이제는 사실 다른 호텔 뷔페들의 가격이 많이 올라와서
가격대의 차이가 작년처럼 크게 심한 편은 아니긴 합니다. 
그래서 상대적으로 괜찮아졌죠. 

가격은 주중 점심은 105,000원
월~목 저녁은 120,000원
금 저녁이랑 휴일 점심, 저녁은 130,000원입니다. 

네이버 예약을 하면 10%할인을 받을 수 있습니다. ",2020. 11. 26.,플레이버즈,더들리
25,부모님 모시고 가기 좋은 서울 도심 뷰의 롯데호텔 무궁화,https://www.youtube.com/watch?v=LTPQDBso37Q,"* Email : dudely610@gmail.com

-----------------------------------------

명동 롯데호텔에 있는 무궁화에 다녀왔습니다. 
롯데호텔 38층에 있어서 뷰가 상당히 좋고 클래식한 분위기가 좋은 곳이에요.

런치는 90,000원, 125,000원, 185,000원 코스 중
저는 125,000원 금강코스를 주문했습니다. 

생일자가 있을 때 유리벽에 글도 써 주고
추가적으로 미역국과 다른 반찬들도 나오고
디저트에 레터링도 적어줘서 일행 중 생일자가 있을 때 가기 좋은 곳인 것 같아요. 

음식만 보실 분은 04분 40초로 가시면 됩니다. 
자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜 주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(롯데호텔 무궁화)",2021. 3. 16.,롯데호텔서울,더들리
26,5년 연속 미슐랭1스타를 받은 호텔 중식당은? 인당 10만원 주말 딤섬 브런치 세트 그리고 베이징 덕..!,https://www.youtube.com/watch?v=joVMmR2JrRw,"* Email : dudely610@gmail.com

-----------------------------------------

광화문 포시즌스 호텔에 있는 유유안에 다녀왔습니다. 

미쉐린 가이드 서울이 들어온 2017년부터 2021년까지
중식당 중에서 유일하게 미슐랭 1스타를 유지하고 있는 곳입니다. 
전반적인 음식들도 맛있고 서비스와 분위기도 좋아서 가기 좋은 곳인 것 같아요. 

음식만 보실 분은 5분 30초로 가시면 됩니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜 주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(유유안)",2021. 1. 17.,광화문,더들리
27,"포장해서 먹는 55,000원 모둠회의 구성은? 노량진 수산시장에서 방어, 참돔, 연어, 광어회 + 성게와 대게 한마리도 잡아왔습니다",https://www.youtube.com/watch?v=_C4HO10dsmg,"* Email : dudely610@gmail.com

-----------------------------------------

노량진 수산시장에 다녀왔습니다. 
대게나 회를 가성비 있게 포장으로 먹을 수 있는 곳인 것 같아요. 
이날은 방어모둠회랑 대게한마리 그리고 러시아 성게를 포장해왔습니다. 

수산시장에 가시기 전에 참고하실 만한 건 인어교주해적단앱(+사이트)입니다. 
당일의 수산시장 시세를 알 수 있어서 참고하기에 좋습니다. 

방어모둠회
전라상회
노량진수산시장 1층 활어161호

대게찜
남송꽃게
노량진수산시장 2층 활어2-7호

음식만 보실 분은 ",2020. 12. 17.,노량진수산시장,더들리
28,미슐랭 2스타 밍글스에 다녀왔습니다 - michelin guide seoul,https://www.youtube.com/watch?v=FLjWVY-BToM,"* Email : dudely610@gmail.com

-----------------------------------------

한식 파인다이닝 밍글스를 다녀왔습니다. 

밍글스는 강민구 셰프님이 운영을 하시는데
2017년 미슐랭이 서울에 들어오고 나서는 1스타를 받았었고
2019년 부터는 2스타를 계속 받고 있는 곳이에요. 

미슐랭이 절대적인 기준이 될 수는 없지만
참고하기에는 나쁘지 않은 것 같긴 합니다. 

여기는 갈 만한 곳인 것 같습니다. 

약간 목소리가 울리긴 하지만 분위기도 적당하고
음식들도 다양한 시도를 하는 음식들이 나와서 좋아요. 

저는 런치로 다녀왔습니다. 

95,000원
150,000원 
두 가지 코스가 있는데 
저는 95,000원 코스를 먹었습니다. 

두 가지 코스의 차이는 1가지 음식이 더 나오고
메뉴 선택에 따른 추가차지가 없습니다. 
그리고 메인 메뉴에서 양갈비를 선택할 수 있습니다. 

양갈비 안드실거면 기본도 괜찮은 것 같네요. 

영상 봐주셔서 감사드립니다.

-----------------------------------------",2020. 7. 17.,밍글스,더들리
29,"신라호텔 호캉스에서 할 수 있는 것들 - 수영장, 룸서비스, 망고빙수, 조식",https://www.youtube.com/watch?v=XYMoCZxFhYk,"* Email : dudely610@gmail.com

-----------------------------------------

장충동에 있는 서울 신라호텔에 다녀왔습니다. 

저번처럼 먹는 게 목적은 아니고 
수영장도 들어가보는 호캉스를 하러 다녀왔습니다. 

가격은 성수기/비수기, 평일/주말에 따라 격차가 크고,
조식과 야외수영장 이용 여부에 따라서도 변동이 큰 편입니다.
대략적인 가격대는 30만원대~70만원대 사이인 것 같습니다. 

자막이 보이지 않으실 경우, 영상 설정에서 자막을 켜주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!",2021. 7. 17.,신라호텔,더들리
30,디너 20만원의 미슐랭 2스타 한식 파인다이닝 코스는 어떻게 나올까?,https://www.youtube.com/watch?v=ta0PD8pOlxs,"* Email : dudely610@gmail.com

-----------------------------------------

청담동에 있는 권숙수에 다녀왔습니다. 

모던한식하면 생각 나는 곳들 중 한곳인데
미슐랭 2스타를 유지하고 있는 곳입니다. 

가격은 런치가 88,000원에서 150,000원 사이고
디너는 200,000원 단일메뉴입니다. 
저는 디너로 다녀왔어요. 

한식 좋아하신다면 가셔도 좋을 곳인 것 같아요. 
음식만 보실 분은 03분 30초로 가시면 됩니다. 

자막이 보이지 않으실 경우, 
영상 설정에서 자막을 켜 주시면 보실 수 있습니다.
영상 봐 주셔서 감사드립니다!

(권숙수)",2021. 2. 18.,권숙수,더들리
